a,about,above,after,again,against,all,am,an,and,any,are,arent,as,at,be,because,been,before,being,below,between,both,but,by,cant,cannot,could,couldnt,did,didnt,do,does,doesnt,doing,dont,down,during,each,few,for,from,further,had,hadnt,has,hasnt,have,havent,having,he,hed,hell,hes,her,here,heres,hers,herself,him,himself,his,how,hows,i,id,ill,im,ive,if,in,into,is,isnt,it,its,itself,lets,me,more,most,mustnt,my,myself,no,nor,not,of,off,on,once,only,or,other,ought,our,ours,ourselves,out,over,own,same,shant,she,shed,shell,shes,should,shouldnt,so,some,such,than,that,thats,the,their,theirs,them,themselves,then,there,theres,these,they,theyd,theyll,theyre,theyve,this,those,through,to,too,under,until,up,very,was,wasnt,we,wed,well,were,weve,werent,what,whats,when,whens,where,wheres,which,while,who,whos,whom,why,whys,with,wont,would,wouldnt,you,youd,youll,youre,youve,your,yours,yourself,yourselves,class
2.222,1.111,0.0,0.0,0.0,0.0,0.0,1.111,1.111,1.111,0.0,0.0,0.0,1.111,1.111,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,0.0,0.0,0.0,0.0,0.0,2.222,0.0,1.111,0.0,3.333,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,0.0,4.444,0.0,0.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,3.333,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,2.222,1.111,0.0,1.111,0.0,3.333,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,1.111,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,1.111,0.0,5.556,0.0,0.0,0.0,0.0,1.111,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.111,2.222,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,0.0,2.222,0.0,0.0,1.111,0.0,1.111,0.0,1.111,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.778,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,2.222,0.0,0.0,0.0,0.0,1.111,0.0,0.0,1.111,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,1.111,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,3.333,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,3.333,0.0,0.0,0.0,0.0,1.111,4.444,0.0,1.111,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,2.222,2.222,0.0,1.111,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,1.111,0.0,0.0,0.0,0.0,1.111,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,1.111,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,5.556,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,1
2.222,1.111,0.0,0.0,0.0,0.0,0.0,1.111,3.333,1.111,0.0,3.333,0.0,1.111,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,1.111,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,2.222,0.0,1.111,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,1.111,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,1.111,0.0,0.0,0.0,1.111,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,1
2.222,0.0,0.0,0.0,0.0,0.0,1.111,2.222,0.0,0.0,0.0,1.111,0.0,0.0,0.0,2.222,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,1.111,0.0,3.333,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,2.222,1.111,0.0,0.0,2.222,5.556,0.0,2.222,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556,0.0,5.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,2.222,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,1
1.111,0.0,0.0,0.0,0.0,0.0,0.0,2.222,1.111,0.0,0.0,2.222,0.0,0.0,1.111,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,3.333,1.111,0.0,1.111,0.0,2.222,1.111,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,3.333,0.0,0.0,2.222,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,2.222,0.0,5.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,1.111,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,3.333,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,1
0.0,3.333,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,0.0,4.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,1.111,0.0,0.0,0.0,2.222,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,1.111,2.222,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,2.222,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,2.222,0.0,5.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,3.571,0.0,0.0,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571,0.0,0.0,7.143,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,3.571,0.0,3.571,0.0,0.0,0.0,0.0,0.0,3.571,0.0,0.0,1
2.222,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,1.111,0.0,0.0,0.0,1.111,1.111,1.111,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,7.778,0.0,0.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,4.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111,0.0,1.111,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,2
